date,category,amount,description
2024-02-15,Food Delivery,458.00,Swiggy Order - Dinner
2024-02-16,Groceries,1250.00,Weekly Groceries
2024-02-16,Food Delivery,325.50,Zomato Lunch
2024-02-17,Transportation,450.00,Uber rides
2024-02-18,Entertainment,800.00,Movie tickets and popcorn
2024-02-19,Food Delivery,550.00,Late night Swiggy order
2024-02-20,Utilities,2000.00,Electricity bill
2024-02-20,Food Delivery,420.00,Zomato breakfast
2024-02-21,Healthcare,1500.00,Medical checkup
2024-02-22,Shopping,3500.00,Clothing and accessories
2024-02-23,Food Delivery,380.00,Swiggy lunch
2024-02-23,Education,5000.00,Online course
2024-02-24,Groceries,890.00,Vegetables and fruits
2024-02-25,Food Delivery,520.00,Zomato dinner
2024-02-26,Transportation,600.00,Cab fare
